,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
2811,BKF-PBL,2017,DISTRICT7,,155.391341657592,W GOVERNMENT WAY ,GILMAN AVE W AND W GOVERNMENT WAY,29TH AVE W AND W GOVERNMENT WAY
2812,BKF-BL,2019,DISTRICT2,,321.426938967796,S WASHINGTON ST ,4TH AVE S AND S WASHINGTON ST,5TH AVE S AND S WASHINGTON ST
2813,BKF-SHW,2012,DISTRICT3,,1102.0804832859,S WELLER ST ,12TH AVE S AND S WELLER ST,RAINIER AVE S AND S WELLER ST
2814,BKF-SHW,2012,DISTRICT3,,644.063882574967,S WELLER ST ,16TH AVE S AND S WELLER ST,18TH AVE S AND S WELLER ST
2815,BKF-BL,2010,DISTRICT1,,658.737083448379,SW ADMIRAL WAY ,SW ADMIRAL WAY AND SW ADMIRAL WY OFF RP,SW ADMIRAL WAY AND SW CITY VIEW ST
2816,BKF-SHW,2007,DISTRICT2,,324.607196839016,BEACON ER AVE S ,BEACON ER AVE S AND S RAYMOND ST,BEACON ER AVE S AND S SPENCER ST
2817,BKF-SHW,2007,DISTRICT2,,359.855177944401,BEACON ER AVE S ,BEACON ER AVE S AND S GRAHAM ST,BEACON ER AVE S AND S EDDY ST
2818,BKF-SHW,2007,DISTRICT2,,177.646685371541,BEACON ER AVE S ,BEACON ER AVE S AND S MORGAN ST,BEACON ER AVE S AND S MONTEREY PL
2819,BKF-SHW,2007,DISTRICT2,,365.808013453003,BEACON ER AVE S ,BEACON ER AVE S AND S WARSAW ST,BEACON ER AVE S AND S HOLLY ST
2820,BKF-SHW,2007,DISTRICT2,,724.183570034323,BEACON ER AVE S ,BEACON ER AVE S AND S BRIGHTON ST,27TH AVE S AND BEACON ER AVE S
2821,BKF-SHW,2007,DISTRICT2,,311.777897436015,BEACON ER AVE S ,28TH AVE S AND BEACON ER AVE S,BEACON ER AVE S AND S MYRTLE ST
2822,BKF-SHW,2007,DISTRICT2,,1033.59504146609,BEACON ER AVE S ,BEACON ER AVE S AND S MYRTLE ST,BEACON ER AVE S AND S OTHELLO ST
